date,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,count,recency
2011-01-01,Winter,2011,Jan,No,Sat,No,Clear,331,654,985,730
2011-01-02,Winter,2011,Jan,No,Sun,No,Mist,131,670,801,729
2011-01-03,Winter,2011,Jan,No,Mon,Yes,Clear,120,1229,1349,728
2011-01-04,Winter,2011,Jan,No,Tue,Yes,Clear,108,1454,1562,727
2011-01-05,Winter,2011,Jan,No,Wed,Yes,Clear,82,1518,1600,726
2011-01-06,Winter,2011,Jan,No,Thu,Yes,Clear,88,1518,1606,725
2011-01-07,Winter,2011,Jan,No,Fri,Yes,Mist,148,1362,1510,724
2011-01-08,Winter,2011,Jan,No,Sat,No,Mist,68,891,959,723
2011-01-09,Winter,2011,Jan,No,Sun,No,Clear,54,768,822,722
2011-01-10,Winter,2011,Jan,No,Mon,Yes,Clear,41,1280,1321,721
2011-01-11,Winter,2011,Jan,No,Tue,Yes,Clear,43,1220,1263,720
2011-01-12,Winter,2011,Jan,No,Wed,Yes,Mist,25,1137,1162,719
2011-01-13,Winter,2011,Jan,No,Thu,Yes,Clear,38,1368,1406,718
2011-01-14,Winter,2011,Jan,No,Fri,Yes,Clear,54,1367,1421,717
2011-01-15,Winter,2011,Jan,No,Sat,No,Clear,222,1026,1248,716
2011-01-16,Winter,2011,Jan,No,Sun,No,Clear,251,953,1204,715
2011-01-17,Winter,2011,Jan,Yes,Mon,No,Mist,117,883,1000,714
2011-01-18,Winter,2011,Jan,No,Tue,Yes,Mist,9,674,683,713
2011-01-19,Winter,2011,Jan,No,Wed,Yes,Mist,78,1572,1650,712
2011-01-20,Winter,2011,Jan,No,Thu,Yes,Clear,83,1844,1927,711
2011-01-21,Winter,2011,Jan,No,Fri,Yes,Mist,75,1468,1543,710
2011-01-22,Winter,2011,Jan,No,Sat,No,Clear,93,888,981,709
2011-01-23,Winter,2011,Jan,No,Sun,No,Clear,150,836,986,708
2011-01-24,Winter,2011,Jan,No,Mon,Yes,Clear,86,1330,1416,707
2011-01-25,Winter,2011,Jan,No,Tue,Yes,Mist,186,1799,1985,706
2011-01-26,Winter,2011,Jan,No,Wed,Yes,Mist,34,472,506,705
2011-01-27,Winter,2011,Jan,No,Thu,Yes,Clear,15,416,431,704
2011-01-28,Winter,2011,Jan,No,Fri,Yes,Mist,38,1129,1167,703
2011-01-29,Winter,2011,Jan,No,Sat,No,Clear,123,975,1098,702
2011-01-30,Winter,2011,Jan,No,Sun,No,Clear,140,956,1096,701
2011-01-31,Winter,2011,Jan,No,Mon,Yes,Mist,42,1459,1501,700
2011-02-01,Winter,2011,Feb,No,Tue,Yes,Mist,47,1313,1360,699
2011-02-02,Winter,2011,Feb,No,Wed,Yes,Light Rain,72,1454,1526,698
2011-02-03,Winter,2011,Feb,No,Thu,Yes,Clear,61,1489,1550,697
2011-02-04,Winter,2011,Feb,No,Fri,Yes,Mist,88,1620,1708,696
2011-02-05,Winter,2011,Feb,No,Sat,No,Mist,100,905,1005,695
2011-02-06,Winter,2011,Feb,No,Sun,No,Clear,354,1269,1623,694
2011-02-07,Winter,2011,Feb,No,Mon,Yes,Clear,120,1592,1712,693
2011-02-08,Winter,2011,Feb,No,Tue,Yes,Mist,64,1466,1530,692
2011-02-09,Winter,2011,Feb,No,Wed,Yes,Clear,53,1552,1605,691
2011-02-10,Winter,2011,Feb,No,Thu,Yes,Light Rain,47,1491,1538,690
2011-02-11,Winter,2011,Feb,No,Fri,Yes,Clear,149,1597,1746,689
2011-02-12,Winter,2011,Feb,No,Sat,No,Clear,288,1184,1472,688
2011-02-13,Winter,2011,Feb,No,Sun,No,Clear,397,1192,1589,687
2011-02-14,Winter,2011,Feb,No,Mon,Yes,Clear,208,1705,1913,686
2011-02-15,Winter,2011,Feb,No,Tue,Yes,Clear,140,1675,1815,685
2011-02-16,Winter,2011,Feb,No,Wed,Yes,Clear,218,1897,2115,684
2011-02-17,Winter,2011,Feb,No,Thu,Yes,Clear,259,2216,2475,683
2011-02-18,Winter,2011,Feb,No,Fri,Yes,Clear,579,2348,2927,682
2011-02-19,Winter,2011,Feb,No,Sat,No,Clear,532,1103,1635,681
2011-02-20,Winter,2011,Feb,No,Sun,No,Clear,639,1173,1812,680
2011-02-21,Winter,2011,Feb,Yes,Mon,No,Mist,195,912,1107,679
2011-02-22,Winter,2011,Feb,No,Tue,Yes,Mist,74,1376,1450,678
2011-02-23,Winter,2011,Feb,No,Wed,Yes,Clear,139,1778,1917,677
